,maintainability_mod_list,cyclomatic_mod_list,cyclomaticDensity_mod_list,effort_mod_func_avg_list,cyclomatic_mod_func_avg_list,vocabulary_mod_list,difficulty_mod_list,volume_mod_list,effort_mod_list,bugs_mod_list,time_mod_list
0,126.73005597861652,2,20.0,1078.169072299768,1.5,38,9.62,330.61943334694587,3180.558948797619,0.11020647778231529,176.6977193776455
1,138.39168067829513,12,22.641509433962266,981.239841980366,1.5789473684210527,75,61.17647058823529,3070.807614414469,187861.17170535572,1.0236025381381564,10436.731761408651
2,106.44175824341733,10,14.925373134328357,6449.148543667304,2.5,90,39.0,2155.295227981452,84056.51389127664,0.718431742660484,4669.806327293147
3,171.0,1,,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
4,102.86731102062456,4,12.903225806451612,3260.4044959282073,2.5,59,13.222222222222221,882.3964574042762,11667.242047900985,0.2941321524680921,648.180113772277
5,103.33334020545601,4,9.090909090909092,3786.1229761545583,2.0,73,19.883928571428573,1436.039297660164,28554.102820439155,0.47867976588672134,1586.339045579953
6,102.43698914122493,7,10.0,4038.5512410414754,2.2,112,23.621052631578948,2893.1258418744815,68338.67778069829,0.9643752806248271,3796.5932100387936
7,86.81250902965661,5,8.771929824561402,24857.631175182087,3.0,83,27.56060606060606,2314.139313578934,63779.081990910316,0.771379771192978,3543.2823328283507
8,103.65093874531658,4,12.5,3915.251262008419,2.5,48,18.5,1077.8977626391832,19941.10860882489,0.359299254213061,1107.8393671569384
9,91.18106222988695,30,13.333333333333334,67654.32657874154,2.7058823529411766,786,93.45165562913908,55882.8197681225,5222342.02855583,18.627606589374167,290130.11269754614
10,97.50058216716315,8,13.333333333333334,10649.477312643576,2.75,96,37.66,2982.9880128266836,112339.3285630529,0.9943293376088945,6241.073809058495
11,100.40501301845762,2,15.384615384615385,6799.357839250644,2.0,37,12.962962962962962,588.6682303160713,7630.884467060184,0.19622274343869045,423.938025947788
12,101.00828821107277,3,21.428571428571427,3796.2514826530405,3.0,42,8.59375,501.48552031842473,4309.6411902364625,0.16716184010614157,239.42451056869237
13,83.48718884665729,4,12.903225806451612,11900.979475853323,4.0,67,12.0,1091.896054282399,13102.75265138879,0.36396535142746633,727.9307028549327
14,90.15876906404405,3,15.0,15011.337199690763,3.0,58,16.068181818181817,1013.4307121570699,16283.988943069282,0.33781023738569,904.6660523927379
15,76.95806687214034,5,12.82051282051282,25815.566197239255,5.0,80,18.88888888888889,1460.3653899189806,27584.67958735852,0.48678846330632686,1532.4821992976956
16,96.58133331003137,2,12.5,7227.313608725703,2.0,49,12.097222222222223,656.9210517614794,7946.919945614563,0.21897368392049313,441.4955525341424
17,90.9842826832524,3,15.0,11792.072429686208,3.0,63,14.0625,908.5465483719873,12776.435836481072,0.3028488494573291,709.8019909156151
18,171.0,1,,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
19,91.14090534531779,2,10.0,11575.600746693022,2.0,46,14.142857142857144,905.8641607933502,12811.507416934524,0.30195472026445,711.750412051918
