,maintainability_mod_list,cyclomatic_mod_list,cyclomaticDensity_mod_list,effort_mod_func_avg_list,cyclomatic_mod_func_avg_list,vocabulary_mod_list,difficulty_mod_list,volume_mod_list,effort_mod_list,bugs_mod_list,time_mod_list
0,110.1024840862668,16,18.39080459770115,3642.377277956505,2.5,99,42.14285714285714,3606.3700013233074,151982.73577005367,1.2021233337744357,8443.485320558537
1,103.30788696561318,4,10.81081081081081,11367.281376891684,2.0,68,23.91509433962264,1820.1513895338517,43529.0921930973,0.6067171298446172,2418.2828996165167
2,86.82092578976895,33,15.942028985507244,19220.780571147192,5.0,150,59.12903225806452,7322.793333472327,432989.683234025,2.4409311111574423,24054.98240189028
3,118.85993860799569,14,7.4074074074074066,1378.8696097955983,1.40625,278,35.25875486381323,11829.297142958148,417086.2881747676,3.943099047652716,23171.460454153756
4,102.39020189086906,7,11.29032258064516,6311.754772247337,2.5,82,28.265625,2326.864033690219,65770.2662022751,0.7756213445634064,3653.9036779041726
5,171.0,1,,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
6,104.29602532612108,22,24.175824175824175,4044.4305254376713,4.0,96,43.485915492957744,3022.4977878310106,131436.08337927106,1.007499262610337,7302.004632181725
7,130.35005377153306,7,25.0,366.9382769677747,2.0,57,17.32142857142857,1020.7557524788299,17680.947855436872,0.3402519174929433,982.274880857604
8,122.18764991497838,4,23.52941176470588,1021.6322699299371,2.0,44,12.93103448275862,453.1328243468957,5859.476176899512,0.15104427478229857,325.5264542721951
9,102.68100713598442,4,9.30232558139535,7096.77907610167,2.0,62,27.38888888888889,1601.6788074940696,43868.20289414313,0.5338929358313566,2437.1223830079516
10,171.0,1,,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
11,91.28879160830235,4,25.0,32420.11480580876,4.0,32,37.72222222222223,910.0,34327.222222222226,0.30333333333333334,1907.0679012345681
12,89.88960261047157,32,15.311004784688995,24791.42092534269,4.1,199,60.0625,9247.95241547836,555455.1419546689,3.082650805159453,30858.618997481608
13,171.0,1,,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
14,171.0,1,,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
15,171.0,1,,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
16,171.0,1,,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
17,103.893627609863,3,12.5,7413.940577445364,2.0,50,18.315789473684212,1168.2782312833679,21397.938130874318,0.389426077094456,1188.7743406041288
18,130.35005377153306,7,25.0,366.9382769677747,2.0,57,17.32142857142857,1020.7557524788299,17680.947855436872,0.3402519174929433,982.274880857604
19,117.43742820620803,190,13.65923795830338,2391.089676085429,1.7093023255813953,642,262.99661016949153,98664.29754426684,25948375.798896268,32.88809918142228,1441576.4332720148
20,146.60774597015435,3,25.0,45.67911307424813,1.5,27,3.571428571428571,223.47971260168305,798.1418307202965,0.07449323753389435,44.34121281779425
21,105.89549096895357,5447,22.852947346339416,12306.267087055732,2.7163567601638827,7508,575.3572100524124,2930866.0714659877,1686294925.915945,976.9553571553292,93683051.43977472
22,109.75471902822885,2,8.333333333333332,1759.5315333700155,1.5,51,8.9375,658.0013396686935,5880.886973288948,0.2193337798895645,326.7159429604971
23,105.11923541661439,1648,20.776601109430157,15309.411323207492,2.574569789674952,2819,493.6483297022513,850243.3544340493,419721211.7568077,283.4144514780165,23317845.097600427
24,112.07432316474282,1318,13.22629202207727,4725.4676824253975,1.8346007604562737,3361,431.84026723352565,874992.4922012893,377856991.6595334,291.6641640670964,20992055.0921963
25,120.43082767857733,994,16.801893171061526,4895.807987247109,1.629277566539924,2569,549.7934478625649,839330.0460601505,461458159.91805553,279.77668202005015,25636564.439891975
26,104.53084884255043,6,17.142857142857142,3486.9102574939807,2.6666666666666665,67,12.679245283018869,970.5742704732436,12306.149240717354,0.3235247568244145,683.6749578176308
27,115.56837733871355,10,8.620689655172415,1229.077102707241,1.6923076923076923,139,27.595041322314046,4506.2896990339805,124351.25045516081,1.5020965663446602,6908.4028030644895
28,109.74105356486129,20,16.0,2496.480465167141,2.4615384615384617,111,58.43023255813954,4647.380452583473,271547.5206306041,1.5491268175278243,15085.973368366896
29,93.57389218038365,9,17.647058823529413,20734.950896224254,3.6666666666666665,47,44.75757575757576,2188.5080075609894,97952.31294447217,0.7295026691869965,5441.795163581787
30,99.24223152498695,6,24.0,13892.469563672288,3.5,53,29.98611111111111,1168.4957727308927,35038.64407397219,0.38949859091029754,1946.5913374428992
31,107.64773305564842,93,20.350109409190374,12315.6826643981,2.559322033898305,208,250.22093023255812,33604.71892996773,8408604.03086018,11.201572976655909,467144.6683811211
32,112.47918456575158,13,20.967741935483872,6890.067820831349,2.3333333333333335,89,45.303030303030305,3127.77924715677,141697.87801513248,1.04259308238559,7872.104334174026
33,151.53880516432565,1,10.0,26.329961823584707,1.0,24,3.026315789473684,169.6436125266828,513.3951431728558,0.0565478708422276,28.52195239849199
34,118.54126898631284,6,13.953488372093023,2857.2840615955474,1.7142857142857142,74,34.90384615384615,1682.7618620854453,58734.86114779006,0.5609206206951485,3263.0478415438924
35,99.06893477886769,40,14.869888475836431,15728.926448279119,2.625,195,86.46428571428572,14682.14750553675,1269481.396818017,4.89404916851225,70526.7442676676
36,100.72464986985705,15,25.423728813559322,9769.620473895058,3.8,67,66.4186046511628,2650.8809762300466,176067.81553751195,0.8836269920766822,9781.545307639553
37,118.45760790805114,18,20.454545454545457,837.8981199491827,2.7,117,28.774193548387096,2617.6089581612773,75319.5867961245,0.8725363193870924,4184.421488673583
38,104.07358309870258,11,20.754716981132077,6513.484134614483,3.0,70,43.8,2427.196074710207,106311.18807230706,0.8090653582367356,5906.17711512817
39,111.80788358784756,15,20.833333333333336,1199.3223107871866,3.3333333333333335,90,21.274647887323944,1843.6862793576277,39223.7764080239,0.6145620931192092,2179.0986893346612
40,111.39927412045026,9,10.975609756097562,5203.916199242432,1.7272727272727273,117,51.766304347826086,4671.848009316715,241844.30591707453,1.5572826697722384,13435.794773170806
41,100.93498057351678,48,19.047619047619047,6645.43662443743,3.473684210526316,156,99.60000000000001,12917.018134042766,1286535.0061506596,4.305672711347588,71474.16700836999
42,106.59929503719562,10,15.625,3600.470873380654,2.5,96,30.71917808219178,2324.4917627545683,71406.47641064547,0.7748305875848561,3967.0264672580815
43,100.04359692345788,13,24.074074074074073,5944.835677749258,4.0,72,30.29090909090909,2017.565475471636,61113.892402468104,0.672521825157212,3395.216244581561
